big,middle,small,today,mean
The A mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the A Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",It goes up and down the stairs without moving.,Carpet
The B mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the B Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",What is the capital of France?,The letter F
The D mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the D Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",What kind of cup can't hold water?,A cupcake
S company has launched a new umbrella,Higher waterproofing effect,S company has launched an umbrella with excellent waterproof effects.  It is expected to be pre-ordered from 4 pm tomorrow.,What bird can lift the most?,A crane
N company has launched a new raincoat,Higher waterproofing effect,N company has launched a raincoat with excellent waterproof effects.  It is expected to be pre-ordered from 11 am tomorrow.,"What has four legs, but can't walk?",A table
L company has launched a new umbrella,Unique design captivates,L company has launched an umbrella with a unique design. It is expected to be pre-ordered from 10 am tomorrow.,All roads lead to Rome,It means 'there are many ways'.
K company has launched a new raincoat,Unique design captivates,K company has launched a raincoat with a unique design. It is expected to be pre-ordered from 3 pm tomorrow.,Sweet talk,It means 'dazzle a person with good words'.
A company has newly launched a smartphone,Excellent waterproof effect,A company's new smartphone is attracting attention due to its excellent waterproof effect. It is expected to be sold from next month.,Do not put all of your eggs in one basket,It means 'don't put everything of value in one place'.
B company has newly launched a smartphone,Excellent waterproof effect,B company's new smartphone is attracting attention due to its excellent waterproof effect. It is expected to be sold from next month.,Mend the barn after the horse is stolen,It means 'to take precautions after a problem arises'.
Mackerel price rise,Lack of quantity due to heavy rain,"The ongoing downpour led to a decline of mackerel yields. Therefore, mackerel prices have risen sharply.",A big fish in a little pond,It means 'a person who is ignorant of the world'.
Sand dab price rise,Lack of quantity due to heavy rain,"The ongoing downpour led to a decline of sand dab yields. Therefore, sand dab prices have risen sharply.",A good medicine tastes bitter,"It means 'an offensive but helpful, truthful advice'."
Yellow corvina price rise,Lack of quantity due to heavy rain,"The ongoing downpour led to a decline of yellow corvina yields. Therefore, yellow corvina prices have risen sharply.",What goes around comes around,It means 'come back as much as you did'.
Korean beef price rise,Lack of quantity due to damage to farmhouses,"The ongoing downpour led to a sharp increase in Korean beef prices. Caused by this, people are feeling uncomfortable.",One nail drives out another,It means 'pain repels with pain'.
Korean pork price rise,Lack of quantity due to damage to farmhouses,"The ongoing downpour led to a sharp increase in Korean pork prices. Caused by this, people are feeling uncomfortable.",The early bird catches the worm,It means 'the more diligent the more successful'.
Vegetable price rise,Lack of quantity due to damage to farmhouses,"The ongoing downpour led to a sharp increase in vegetable prices. Caused by this, people are feeling uncomfortable.",A tall tree catches much wind,It means 'a good man is hated by others'.
Reservoir flooding: rising river levels,Mr.Kim's cow was floated away,"The river suddenly blew up at 3 am today and the reservoir flooded. Eventually, the livestock drifted away causing enormous damage to Mr.Kim's farmhouse.",No news is good news,It means 'I'm doing well even if I don't worry'.
Reservoir flooding: rising river levels,Mr.Lee's cow was floated away,"The river suddenly blew up at 4 am today and the reservoir flooded. Eventually, the livestock drifted away causing enormous damage to Mr.Lee's farmhouse.",Make hay while the sun shines,It means 'make good use of the opportunity'.
Reservoir flooding: rising river levels,Mr.Park's cow was floated away,"The river suddenly blew up at 2 am today and the reservoir flooded. Eventually, the livestock drifted away causing enormous damage to Mr.Park's farmhouse.",Hit the nail on the head,It means 'say the right thing'.
Reservoir flooding: rising river levels,Mr.Choi's cow was floated away,"The river suddenly blew up at 1 am today and the reservoir flooded. Eventually, the livestock drifted away causing enormous damage to Mr.Choi's farmhouse.",All his geese are swans,only talk about yourself.
Kim and Lee have been dating for a year,A lot of attention is burdensome,"Nowadays, popular Lee and Kim have been dating on the premise of marriage for a year.",In unity there is strength,It means 'being together gives you strength'
Lee and Kim have been dating for a year,A lot of attention is burdensome,"Nowadays, popular Kim and Lee have been dating on the premise of marriage for a year.",Let bygones be bygones,It means 'let's bury the past'.
Park and Kim have been dating for 2 years,A lot of attention is burdensome,"Nowadays, popular Park and Kim have been dating on the premise of marriage for 2 years.",After a storm comes a calm,It means' good things happen at the end after the crisis'.
Kim and Park have been dating for 6 months,people around them didn't notice it,"Nowadays, popular Kim and Park have been dating for 6 months.",Go home and kick the dog,It means 'to vent one's anger in the wrong place'.
Na and Choi have been dating for 4 months,people around them didn't notice it,"Nowadays, popular Na and Choi have been dating for 4 months.",Icing on the cake,It means 'good things add to good things'.
The A bridge flooding,Caused by rising river levels,River levels of the A Bridge were increased and flooded due to the rain from morning. This has caused traffic to get crowded on the morning commute.,It is a piece of cake,It means 'this is an easy job'.
The B bridge flooding,Caused by rising river levels,River levels of the B Bridge were increased and flooded due to the rain at dawn. This has caused traffic to get crowded on the morning commute.,You are barking up the wrong tree,doing the wrong thing.
The C bridge flooding,Caused by rising river levels,River levels of the C Bridge were increased and flooded due to the rain from morning. This has caused traffic to get crowded on the morning commute.,Go in at one ear and out at the other,It means 'don't listen with your ears in it'.
The D bridge flooding,Caused by rising river levels,River levels of the D Bridge were increased and flooded due to the rain at dawn. This has caused traffic to get crowded on the morning commute.,The biter is bit,"It means 'I thought it was good, but it was bad'."
The E bridge flooding,Caused by rising river levels,River levels of the E Bridge were increased and flooded due to the rain since yesterday. This has caused traffic to get crowded on the morning commute.,Haste makes waste,It means 'It's not good to hurry'.
The F bridge flooding,Caused by rising river levels,River levels of the F Bridge were increased and flooded due to the ongoing rain. This has caused traffic to get crowded on their way home.,Look before you leap,It means 'let's think carefully and act'.
The G bridge flooding,Caused by rising river levels,River levels of the G Bridge were increased and flooded due to the ongoing rain. This has caused traffic to get crowded on their way home.,Time is money,It means 'do not waste time'.
Precarious economy for ordinary people,Reducing number of stores,"Ms.Choi, who has been in the fish store for 10 years, was unable to withstand the continued deficit and sell she's store.",Great minds think alike,It means 'we have the same idea'.
Precarious economy for ordinary people,Reducing number of stores,"Mr.Kim, who has been in the fish store for 5 years, was unable to withstand the continued deficit and sell he's greengrocer.",better safe than sorry,It means 'don't regret it and think carefully'.
Precarious economy for ordinary people,Reducing number of stores,"Mr.Park, who has been in the fish store for 8 years, was unable to withstand the continued deficit and sell he's butcher shop.",Small drops make a shower,It means 'If you keep collecting small things it becomes big later'.
Buildings flooded in A area,Caused by aging,Buildings in A area were flooded due to the pouring rain. The main cause was found to have been water inflow due to aging facilities.,When in Rome do as the Romans do,It means 'let's act accordingly'.
Buildings flooded in B area,Caused by aging,Buildings in B area were flooded due to the pouring rain. The main cause was found to have been water inflow due to aging facilities.,Every miller draws water to his own mill,It means 'only fills his own interests'.
Buildings flooded in C shopping mall,Caused by aging,Buildings in C shopping mall were flooded due to the pouring rain. The main cause was found to have been water inflow due to aging facilities.,Adding insult to injury,It means 'bad things overlap bad things'.
Larger waves: Fishermen suffering,The sea lane stopped,"The ongoing downpour has stopped fishermen fishing. As a result, fishermen who are not profitable for the time being are suffering.",Diamond cut diamond,It means 'similar in ability to each other'.
The B station is flooded again,It's not maintained,"The B station was flooded by the sudden rain at 4 am. It has been flooded for years, but it has not been resolved yet.",Charity begins at home,It means 'let's take a look at the family first before helping others'.
Heavy rain warning for parts of A,Commuting risk,The rain that has been pouring since last evening does not show any signs of stopping. It is estimated to be at least 200mm.,A picture is worth a thousand words,It means 'show by action rather than words'.
Heavy rain warning for parts of B,,The rain that has been pouring since at dawn does not show any signs of stopping. It is estimated to be at least 250mm.,Pudding rather than praise,It means 'I can't do anything because I'm hungry'.
Lee and Kim get married,Married after a year of dating,Celebrities Lee and Kim will marry with a lot of love and interest on May 13 next week.,Knowledge is power,a lot of knowledge is good.
Choi and Lee get married,Married after 2 years of dating,Celebrities Choi and Lee will marry with a lot of love and interest on June 15 next week.,Heaven helps those who help themselves,It means 'whatever you do your efforts are important'.
Park and Jung get married,Married after 3 years of dating,Celebrities Park and Jung will marry with a lot of love and interest on July 20 next week.,A rolling stone gathers no moss,It means 'let's devote ourselves to one thing'.
Dollar exchange rate decline,"Closing to 1,120 wons","It declined to KRW 1,120 today due to a series of dollar exchange rate rises. It is estimated to remain or down further for the time being.",Talk of an angel and he will appear,"It means 'If you're talking about them, they comes'."
Dollar exchange rate rise,"Rate up to 1,130 wons","It rose to KRW 1,300 today due to a series of dollar exchange rate declines. It is estimated to remain or up further for the time being.",Starts off with a bang and ends with a whimper,It means 'the start is good but the end is bad'.
The C mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the C Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",All is not gold that glitters,It means 'don't judge by appearances'.
The A mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the A Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",The shortest answer is doing,It means 'It's behavior rather than words'.
The B mountain hit by landslide,Ongoing heavy rains effects,"A landslide occurred in the B Mountain during the ongoing downpour. Fortunately, there are no casualties, but it is estimated that it will take time to recover.",Two Heads Are Better Than One,It means 'It's much easier if you work together'.
S company has launched a new umbrella,Higher waterproofing effect,S company has launched an umbrella with excellent waterproof effects.  It is expected to be pre-ordered from 4 pm tomorrow.,Birds of a Feather Flock Together,It means 'the same type is tend to get together'.
N company has launched a new raincoat,Higher waterproofing effect,N company has launched a raincoat with excellent waterproof effects.  It is expected to be pre-ordered from 11 am tomorrow.,Blood is thicker than water,It means 'a family is better than another person'.
L company has launched a new umbrella,Unique design captivates,L company has launched an umbrella with a unique design. It is expected to be pre-ordered from 10 am tomorrow.,Resolve lasts three days,It means 'decision soon fizzles out'.
Yellow corvina price rise,Lack of quantity due to heavy rain,"The ongoing downpour led to a decline of yellow corvina yields. Therefore, yellow corvina prices have risen sharply.",Every dog has his day,It means 'someday a good day will come'.
Korean beef price rise,Lack of quantity due to damage to farmhouses,"The ongoing downpour led to a sharp increase in Korean beef prices. Caused by this, people are feeling uncomfortable.",To see is to believe,It means 'you have to experience it firsthand to know'.
Korean pork price rise,Lack of quantity due to damage to farmhouses,"The ongoing downpour led to a sharp increase in Korean pork prices. Caused by this, people are feeling uncomfortable.",Walls have ears,It means 'watch your language'.
